attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,sample_size,num_trial
hopskip,,50,500,,,,,,,,20000,100,100,,
hopskip,,50,500,,,,,,,,18000,100,100,,
hopskip,,50,500,,,,,,,,12000,100,100,,
hopskip,,50,500,,,,,,,,10000,100,100,,
hopskip,,50,500,,,,,,,,8000,100,100,,
hopskip,,50,500,,,,,,,,4000,100,100,,
hopskip,,50,500,,,,,,,,1000,100,100,,
hopskip,,50,500,,,,,,,,500,100,100,,
hopskip,,50,500,,,,,,,,100,100,100,,
hopskip,,50,500,,,,,,,,10000,20,100,,
hopskip,,50,500,,,,,,,,10000,40,100,,
hopskip,,50,500,,,,,,,,10000,60,100,,
hopskip,,50,500,,,,,,,,10000,80,100,,
hopskip,,50,500,,,,,,,,10000,100,100,,
hopskip,,50,500,,,,,,,,10000,200,100,,
hopskip,,50,500,,,,,,,,10000,100,20,,
hopskip,,50,500,,,,,,,,10000,100,40,,
hopskip,,50,500,,,,,,,,10000,100,60,,
hopskip,,50,500,,,,,,,,10000,100,80,,
hopskip,,50,500,,,,,,,,10000,100,100,,
hopskip,,50,500,,,,,,,,10000,100,150,,
hopskip,,50,500,,,,,,,,10000,100,200,,
hopskip,,50,500,,,,,,,,10000,100,100,,
hopskip,,100,500,,,,,,,,10000,100,100,,
hopskip,,200,500,,,,,,,,10000,100,100,,
hopskip,,300,500,,,,,,,,10000,100,100,,
hopskip,,400,500,,,,,,,,10000,100,100,,
hopskip,,600,500,,,,,,,,10000,100,100,,
hopskip,,800,500,,,,,,,,10000,100,100,,
hopskip,,1000,500,,,,,,,,10000,100,100,,
