attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,csv_name,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,sample_size,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
jsma,True,,,500,,,,,1,1,,,,,,,jsma1.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1,1.1140285015106202,,4.571034842260288,54.46789827566265,0.8594694348327558,0.010358103277114571,0.9604508743232939,,0.149611124956005,0.7573782382136468,0.9507445602511964,,23.077327707252255
jsma,False,,,500,,,,,1,1,,,,,,,jsma1.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,1.1140285015106202,,0.0,0.0,0.0,,,,,,,,23.077327707252255
jsma,True,,,500,,,,,2,1,,,,,,,jsma2.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,0.7282340979576111,,4.75302118581166,45.07846380470321,0.872202998846597,0.008985460025273275,0.9555492639579117,,0.16698034299267775,0.7168333315568792,0.9682256590480727,,22.058328314833872
jsma,False,,,500,,,,,2,1,,,,,,,jsma2.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,0.7282340979576111,,0.0,0.0,0.0,,,,,,,,22.058328314833872
jsma,True,,,500,,,,,3,1,,,,,,,jsma3.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,1.0449530982971191,,4.58209762606088,80.89147358467473,0.8529642445213375,0.016954531887245668,0.9567573423002144,,0.13658560236544282,0.7794532572108762,0.9527976977435628,,25.917204710721755
jsma,False,,,500,,,,,3,1,,,,,,,jsma3.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,1.0449530982971191,,0.0,0.0,0.0,,,,,,,,25.917204710721755
jsma,True,,,500,,,,,4,1,,,,,,,jsma4.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,0.9018065404891967,,4.82084669348932,55.91860151490088,0.8704036908881193,0.010569646631480537,0.9551558127898565,,0.16018344238696722,0.7203296581970305,0.9659321024799731,,24.749376165051853
jsma,False,,,500,,,,,4,1,,,,,,,jsma4.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,0.9018065404891967,,0.0,0.0,0.0,,,,,,,,24.749376165051853
jsma,True,,,500,,,,,5,1,,,,,,,jsma5.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,0.5419308400154114,,4.0556901124051175,33.840263340537824,0.8601614763552476,0.006594411804754774,0.9665078217905034,,0.142260180105976,0.7702948416308146,0.9779750019668227,,25.707800423300064
jsma,False,,,500,,,,,5,1,,,,,,,jsma5.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,0.5419308400154114,,0.0,0.0,0.0,,,,,,,,25.707800423300064
jsma,True,,,500,,,,,6,1,,,,,,,jsma6.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,1.190760488510132,,4.948663006255791,66.91587951710666,0.8506574394463662,0.012733186201480009,0.9540693747198935,,0.15855359967393898,0.7340512163965671,0.9356232171611817,,23.016103841158966
jsma,False,,,500,,,,,6,1,,,,,,,jsma6.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,1.190760488510132,,0.0,0.0,0.0,,,,,,,,23.016103841158966
jsma,True,,,500,,,,,7,1,,,,,,,jsma7.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,1.2467603015899658,,5.145058444193768,73.13991563525929,0.8703575547866197,0.012792354149705048,0.9545101133607148,,0.16181053231982476,0.7071326935751008,0.9663656828399196,,22.3875140039903
jsma,False,,,500,,,,,7,1,,,,,,,jsma7.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,1.2467603015899658,,0.0,0.0,0.0,,,,,,,,22.3875140039903
jsma,True,,,500,,,,,8,1,,,,,,,jsma8.01.0_succ,gen_list_jsma_debug,cifar,conv12,100,85,85,1.0,0.7829552984237671,,4.585099361363685,49.06739105300978,0.8679123414071502,0.009803784048461944,0.9592583397553656,,0.15535274928237816,0.733132681908833,0.9731812640753089,,23.00867217136523
jsma,False,,,500,,,,,8,1,,,,,,,jsma8.01.0_miss,gen_list_jsma_debug,cifar,conv12,100,85,0,1.0,0.7829552984237671,,0.0,0.0,0.0,,,,,,,,23.00867217136523
